Soilcolor,Soil_pH,Potassium,Phosphorus,Zinc,Sulphur,Nitrogen,Annual_Humidity,Annual_Temperature,Annual_Precipitation,WindDirection_10m,Topsoil_Moisture,Cloud_Amount,WindSpeed_2m_Range,Pressure,label
brown,7.87,2.75,1.95,0.54,0.95,0.09,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Sorghum
red,5.81,3.03,1.02,0.78,1.26,0.14,11.71,16.24,34.52,343.44,0.73,59.11,5.19,82.6,Sorghum
brown,7.87,2.94,2.05,0.66,1.04,0.11,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Sorghum
brown,6.26,2.45,0.85,0.46,0.92,0.14,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Sorghum
gray,7.87,2.06,0.9,0.28,0.7,0.11,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Sorghum
gray,6.09,2.33,0.7,0.38,0.78,0.11,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Sorghum
red,6.09,2.21,0.7,0.26,1.04,0.11,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Sorghum
brown,7.53,2.72,1.43,0.4,1,0.09,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Sorghum
brown,7.2,3.02,1.88,0.79,1.32,0.11,9.54,14.61,15.14,106.94,0.52,54.41,9.58,80.44,Sorghum
red,5.6,2.65,0.6,0.53,1.2,0.37,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Sorghum
brown,6.2,2.29,0.48,0.4,0.9,0.26,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Sorghum
gray,8.1,2.05,0.53,0.37,1.14,0.18,9.54,14.61,15.14,106.94,0.52,54.41,9.58,80.44,Sorghum
brown,7.1,2.64,0.6,0.38,0.95,0.07,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Sorghum
black,7.4,3.04,1.96,0.65,1.32,0.04,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
gray,7.4,2.69,1.32,0.45,1,0.04,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
brown,7.4,2.87,1.71,0.38,1.15,0.04,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
black,6.1,2.39,0.3,0.38,1,0.12,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Sorghum
black,7.3,2.46,0.94,0.37,0.73,0.04,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
gray,6.8,2.45,0.95,0.3,0.85,0.02,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
red,7.1,2.4,0.85,0.29,0.87,0.02,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Sorghum
gray,8.1,2.34,0.86,0.34,0.69,0.02,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
brown,5.57,2.68,0.95,0.58,1.11,0.22,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Sorghum
brown,6.8,2.95,1.86,0.45,0.9,0.02,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
black,8.1,2.93,1.56,0.49,0.95,0.02,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
brown,7.1,2.61,1.4,0.51,0.9,0,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
brown,7.1,2.39,1.11,0.29,0.78,0,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
other,5.8,2.85,1.4,0.79,1.15,0.2,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
brown,5.8,2.06,0.7,0.3,0.9,0.25,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Sorghum
red,5.8,2.12,0.6,0.32,1.11,0.25,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Sorghum
brown,5.8,2.63,1,0.41,1.04,0.2,9.33,15.39,17.91,88.31,0.63,59.11,6.01,77.15,Sorghum
black,5.8,2.94,1.73,0.73,1.1,0.25,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Sorghum
brown,5.8,2.72,1.36,0.69,1.2,0.25,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Sorghum
brown,5.81,2.83,0.6,0.45,1.18,0.23,10.69,16.3,34.34,14.25,0.8,59.11,6.06,78.58,Sorghum
red,5.1,2.17,0.48,0.2,1.4,0.13,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Sorghum
black,6.32,2.74,0.71,0.53,0.94,0.21,10.99,15.79,21.24,354.88,0.65,53.49,8.15,82.67,Sorghum
brown,6.95,2.42,0.48,0.28,0.95,0.16,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Sorghum
black,7.4,2.56,0.3,0.32,0.78,0.05,10.24,16.3,30.58,36.06,0.77,59.11,5.41,77.29,Sorghum
red,6,2.53,0.3,0.49,1.23,0.14,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Sorghum
brown,5.3,2.44,0.42,0.38,1.16,0.21,10.44,16.7,30.15,68.94,0.73,59.11,5.44,78.25,Sorghum
black,5.9,2.61,0.78,0.6,1.11,0.21,11.01,16.91,26.87,0.06,0.7,48.62,6.21,81.38,Sorghum
brown,7.2,2.66,1.38,0.48,1.04,0.13,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,8.2,2.76,1.11,0.43,0.95,0.06,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,6.6,2.71,1.62,0.52,1.04,0.15,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.4,2.45,1.08,0.49,0.95,0.08,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.7,2.44,0.6,0.34,0.95,0.17,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.5,2.49,1.48,0.54,1.2,0.14,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,7.4,2.82,1.2,0.52,1.15,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,7.1,2.51,1.2,0.45,0.95,0.07,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.5,2.33,1.04,0.45,0.85,0.12,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,6.9,2.24,0.9,0.45,0.95,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,7.3,2.6,0.7,0.32,0.85,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,8.1,2.63,0.48,0.3,1,0.09,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,7.2,2.55,1.36,0.48,1.15,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,7.2,2.89,1.74,0.51,0.95,0.08,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,8.1,2.73,0.7,0.58,1.08,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.7,2.72,0.9,0.38,1.26,0.16,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,6.9,2.62,1.3,0.48,1,0.06,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.6,2.68,1.3,0.89,0.9,0.18,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.3,2.46,0.85,0.34,0.9,0.11,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
other,6.1,2.23,1,0.61,0.85,0.06,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.9,2.63,1.28,0.45,1.04,0.11,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.3,2.6,0.78,0.32,1.34,0.13,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,6.3,2.32,1.28,0.92,0.85,0.09,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.6,2.29,0.48,0.46,0.78,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.1,2.27,0.78,0.36,1.08,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,5.7,2.39,0.6,0.36,1.04,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.3,2.41,1.04,0.77,0.9,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.7,2.4,1.73,0.58,0.78,0.05,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.5,2.25,0.78,0.36,1,0.12,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.6,2.38,0.85,0.41,1.18,0.15,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.2,2.61,0.7,0.3,1.32,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.2,2.6,1.28,0.51,1.15,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.1,2.65,0.9,0.58,0.95,0.17,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,6.8,2.52,1.66,0.48,0.78,0.07,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,5.1,2.42,0.7,0.43,1.3,0.15,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.5,2.71,1.67,0.69,1,0.14,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.2,2.6,0.7,0.45,1.2,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,5.4,2.57,0.6,0.32,1.11,0.13,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,8.38,2.28,1.03,0.53,1.25,0.15,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,5.2,2.57,0.78,0.36,1.15,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,8.29,2.68,0.72,0.43,1.65,0.14,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5,2.66,0.78,0.32,1.3,0.14,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,5.6,2.87,1.08,0.59,1.08,0.17,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,5.4,2.82,0.6,0.38,1.15,0.14,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.1,2.41,0.48,0.34,1.3,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5,2.75,0.78,0.43,1.3,0.14,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,5.2,2.64,1.32,0.58,1.08,0.21,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.5,2.64,0.3,0.41,0.95,0.07,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.4,2.76,0.78,0.43,1.08,0.18,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,7,2.37,0.78,0.57,0.9,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,7.46,2.44,0.4,0.57,1.68,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,7.4,2.35,0.9,0.46,0.78,0.06,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
other,6.5,2.2,1.3,0.59,0.7,0.09,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.8,2.24,1.11,0.56,0.78,0.17,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,6,2.67,0.78,0.4,1,0.23,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.5,2.63,1.3,0.57,0.85,0.09,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.3,2.18,1.32,0.54,0.78,0.16,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.4,2.52,0.78,0.49,0.95,0.12,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.7,2.49,0.48,0.46,1.11,0.15,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.2,2.37,0.78,0.36,1.32,0.2,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.7,2.48,0.6,0.23,0.6,0.07,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.2,2.65,0.6,0.36,1.26,0.22,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,5,2.67,0.6,0.38,1.3,0.2,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,5.6,2.22,0.7,0.32,1.11,0.14,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.8,2.46,0.3,0.32,0.78,0.06,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,8.46,2.08,0.37,0.15,1.38,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,4.8,2.72,0.78,0.36,1.41,0.21,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,6.45,2.46,0.71,0.35,0.99,0.07,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,6.69,1.97,0.95,0.4,0.91,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.3,2.14,0.85,0.46,1.26,0.15,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.2,2.71,1.08,0.41,1.23,0.21,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.3,2.64,0.78,0.4,1.26,0.2,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5,2.09,0.7,0.54,1.26,0.15,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.9,2.37,0.6,0.36,1.08,0.16,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,4.8,2.45,0.78,0.41,1.23,0.16,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.6,2.63,1.41,0.34,0.85,0.06,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,4.8,2.66,0.85,0.38,1.23,0.18,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.84,2.28,0.52,0.23,1.11,0.14,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6,2.36,0.48,0.34,1,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.6,2.78,1.08,0.4,0.9,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.6,2.66,1.28,0.62,0.9,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,6.1,2.83,1.52,0.59,0.95,0.24,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.31,2.39,0.73,0.29,1.25,0.09,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,5.6,2.48,0.85,0.28,0.9,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.38,2.7,0.69,0.51,1.26,0.08,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,5.4,2.66,0.85,0.51,1.15,0.18,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6,2.43,1.18,0.32,0.7,0.12,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,5.6,2.54,0.48,0.3,1.15,0.17,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,5.9,1.96,0.49,0.3,0.94,0.12,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.4,2.37,0.85,0.36,1.11,0.12,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.79,2.42,0.75,0.4,1.2,0.16,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,5.8,2.49,0.7,0.34,1,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.5,2.51,0.48,0.58,0.9,0.13,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
gray,6,2.28,0.45,0.26,0.88,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.42,2.26,0.45,0.45,1.15,0.22,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,6.7,2.54,0.6,0.57,0.78,0.12,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6,2.42,0.7,0.3,0.95,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,8.2,2.67,0.9,0.38,1.08,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,5.8,2.43,1,0.41,0.85,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.5,2.58,0.95,0.45,0.85,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.6,2.34,0.6,0.3,0.85,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.24,2.28,1.04,0.44,1.11,0.12,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,6.08,2.67,0.91,0.57,1.08,0.17,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.7,2.89,1.04,0.59,1.08,0.2,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.9,2.56,0.48,0.46,1,0.19,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.12,2.53,1.39,0.63,1.17,0.09,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.3,2.18,0.6,0.43,1.28,0.26,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.2,2.86,1.15,0.56,1.3,0.25,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.6,2.43,0.78,0.34,1.04,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,8.08,2.48,0.76,0.5,1.05,0.19,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.4,2.69,1.23,0.41,0.95,0.18,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,7.2,2.8,1.77,0.66,0.9,0.14,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.16,1.93,0.77,0.23,1.31,0.1,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.2,2.61,0.48,0.49,1.46,0.16,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,5.9,2.47,0.9,0.32,0.9,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.3,2.68,0.7,0.45,1.23,0.16,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.68,2.7,1.29,0.65,1.11,0.2,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,8.28,2.46,0.65,0.43,1.27,0.15,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.5,2.44,0.78,0.36,0.9,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,6.39,2.28,0.49,0.35,0.86,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.62,2.59,0.66,0.35,1.19,0.2,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,5,2.39,0.78,0.51,1.3,0.24,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.9,2.57,0.48,0.41,0.9,0.15,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.9,2.57,1.67,0.66,1,0.23,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,4.8,2.24,0.7,0.53,1.38,0.28,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,6.8,2.33,0.68,0.27,0.87,0.08,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,6,2.66,1.18,0.48,0.9,0.18,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.2,2.53,0.7,0.28,0.85,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.6,2.61,0.48,0.32,1,0.17,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.8,2.48,0.6,0.36,1.15,0.23,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.2,2.18,0.48,0.36,1.26,0.14,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.45,2.44,0.91,0.46,0.99,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.4,2.17,0.7,0.4,1.2,0.24,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.7,2.23,0.48,0.38,1,0.2,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,7.4,2.45,0.48,0.48,0.78,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,6.3,2.41,0.48,0.36,0.85,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.7,2.28,0.22,0.39,1.04,0.16,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
gray,5.59,2.28,0.84,0.32,0.93,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,6.88,2.12,1.04,0.37,0.82,0.12,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,5.8,2.77,1.79,0.67,0.95,0.19,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.2,2.55,0.6,0.36,0.95,0.14,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,8.32,2.52,0.86,0.47,1.44,0.2,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.49,2.75,0.69,0.48,1.24,0.2,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
gray,5.85,2.15,0.46,0.48,0.95,0.09,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,6.57,2.24,0.63,0.32,0.86,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,5.51,2.32,0.53,0.27,0.91,0.12,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.4,2.54,0.78,0.34,1.08,0.18,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.8,2.42,0.6,0.36,1.11,0.17,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.8,2.42,0.7,0.38,0.9,0.16,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.96,2.5,0.87,0.41,0.98,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.3,2.49,0.78,0.26,0.78,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.7,2.57,1.11,0.38,0.78,0.17,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.42,2.43,0.6,0.54,1.23,0.22,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.1,2.48,0.48,0.49,1.23,0.26,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.32,2.34,1.02,0.5,1.11,0.16,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,6.08,2.09,0.32,0.38,1.01,0.16,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,5.8,2.4,0.7,0.26,0.95,0.17,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,5.21,2.44,0.85,0.28,0.96,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.5,2.4,0.7,0.51,1.34,0.27,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,5.4,2.25,0.3,0.36,1.23,0.14,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,6.09,2.82,1.19,0.51,1.12,0.16,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
red,5.42,2.83,0.76,0.34,1.29,0.23,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
gray,7.75,2.36,0.93,0.4,1.39,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.6,2.4,0.48,0.43,1.26,0.16,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
brown,5.3,2.23,0.48,0.28,1.28,0.18,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,6.02,2.39,0.62,0.33,0.78,0.12,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,5.5,2.5,0.7,0.32,0.95,0.16,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.1,2.44,0.7,0.45,0.9,0.15,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.07,2.34,0.72,0.23,1.34,0.21,11.22,16.98,22.44,15.62,0.55,4.86,4.86,83.76,Teff
black,5.9,2.32,0.78,0.48,1,0.24,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.4,2.71,0.48,0.41,1.08,0.24,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,6.53,2.34,0.51,0.29,0.87,0.07,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,6.3,2.5,0.3,0.41,1.18,0.13,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,6.48,2.5,1.33,0.36,0.92,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
red,5.6,2.5,0.48,0.38,1.15,0.17,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.2,2.39,0.48,0.41,0.9,0.17,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,6.66,2.29,0.28,0.31,0.83,0.08,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,7.3,2.53,0.48,0.28,0.78,0.1,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.3,2.58,0.6,0.41,1,0.15,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
brown,5.7,2.33,0.95,0.4,0.88,0.11,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
gray,6.53,2.49,0.78,0.27,0.88,0.09,10.03,18.04,13.63,67.12,0.62,57.49,5.56,81.4,Teff
black,6.74,3,2.47,0.56,1.15,0.12,9.47,15.88,21.48,88.38,0.74,59.11,6.26,76.54,Teff
