Soilcolor,Soil_pH,Potassium,Phosphorus,Zinc,Sulphur,Nitrogen,Annual_Humidity,Annual_Temperature,Annual_Precipitation,WindDirection_10m,Topsoil_Moisture,Cloud_Amount,WindSpeed_2m_Range,Pressure,label
other,5.7,2.65,1.28,0.61,1.04,0.33,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,6.2,2.41,0.78,0.45,1,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.89,2.02,0.92,0.49,1.08,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.7,2.58,1.54,0.6,1.18,0.41,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.1,2.52,1.15,0.71,0.95,0.35,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,5.8,2.55,0.78,0.52,1,0.27,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.9,2.41,0.6,0.58,1.08,0.33,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,6.4,2.36,0.78,0.54,1.11,0.37,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.15,2.03,0.84,0.19,1.16,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.53,1.96,0.78,0.63,1.1,0.28,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.71,2.11,0.41,0.5,1.08,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
other,6,2.04,0.48,0.46,0.78,0.28,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,6.3,2.25,0.7,0.36,0.95,0.16,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,6.1,2.16,0.9,0.49,1,0.22,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.8,2.55,1.67,0.59,0.9,0.29,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.8,2.44,0.85,0.54,0.9,0.28,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,6.2,2.18,0.78,0.32,1.04,0.31,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,6.1,2.3,0.95,0.48,0.95,0.18,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.65,2.16,0.49,0.44,1.18,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6.58,1.95,0.93,0.2,1.22,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.44,1.9,0.72,0.6,1.27,0.28,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.1,2.28,0.6,0.45,0.95,0.23,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6.6,2.38,0.95,0.38,1,0.16,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,5.5,2.35,1.45,0.59,0.85,0.29,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6,2.73,2.18,0.85,0.9,0.27,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,6.2,2.24,0.6,0.46,0.9,0.31,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
other,5.6,2.27,0.7,0.54,0.78,0.27,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.9,2.63,0.78,0.56,1,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.7,2.1,0.85,0.48,1.11,0.31,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6,2.61,1.61,0.63,1.15,0.22,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.9,2.6,0.95,0.77,1.11,0.3,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.78,2.17,0.88,0.37,1.09,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.17,2.04,0.56,0.57,1.07,0.28,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6,2.25,0.53,0.36,1.13,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
other,6.1,2.54,1.96,0.66,1.08,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.67,2.39,0.92,0.47,1.31,0.3,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.36,2.45,0.8,0.38,1.28,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.56,2.41,1,0.58,1.13,0.28,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.56,2.49,1,0.54,1.27,0.23,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.62,2.12,1.23,0.53,1.31,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.3,2.5,0.91,0.7,1.38,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.75,1.92,0.98,0.66,1.36,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
gray,5.26,2.56,0.86,0.67,1.23,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.45,2.85,1.76,0.71,1.3,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.53,2.46,1.05,0.51,1.35,0.3,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.3,2.35,0.59,0.51,1.21,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.64,1.96,0.64,0.64,0.79,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
gray,6.75,2.97,2.11,0.5,1.35,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
black,5.75,1.62,1.03,0.53,1.21,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,6,2.27,1.01,0.29,1.12,0.28,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.95,2.06,0.51,0.49,1.02,0.28,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.41,2.24,1.14,0.7,1.36,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.9,1.97,0.9,0.55,1.32,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.47,2.26,0.59,0.59,1.17,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
black,5.79,2.38,0.93,0.65,1.33,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,6.1,1.75,0.92,0.65,1.35,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.41,2.04,1.77,0.73,1.09,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,5.3,2.49,1.92,0.7,1.05,0.17,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
gray,5.14,2.3,0.68,0.67,1.3,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.61,2.37,0.85,0.59,1.35,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.99,2.41,0.91,0.73,1.31,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.58,2.47,1.93,0.84,1.38,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.48,2.33,0.47,0.49,1.11,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.2,2.31,0.42,0.66,1.08,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
black,5.65,2.22,0.93,0.63,1.26,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.71,2.31,0.79,0.58,1.4,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.54,2.35,0.82,0.77,1.28,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.5,2.1,0.96,0.51,1.18,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.59,2.09,0.78,0.55,1.35,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.3,2.35,0.73,0.66,1.16,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.92,1.94,0.45,0.47,1.23,0.17,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.54,2.28,0.9,0.58,1.25,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
black,5.66,2.25,1.28,0.51,1.35,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
